custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Asia,2020-06-29,4678110154,0.2955946658744602,0.2955946658744602,0.2955946658744602,0.2955946658744602,0.2099687958576715,0.18596651228899427,0.14780240308739115,0.5033119262375205,0.010066238524750411,0.02049667426450258
Oceania,2020-06-29,43202462,-0.19455748066252654,-0.1741642095092521,-0.17468963398232235,-0.17468963398232235,-0.19455748066252654,-0.19455748066252654,-0.20133377096209953,-3.6153515388394664,-0.17215959708759362,6.619993092060355e-4
European Union,2020-06-29,447045744,0.05068524967283628,0.05068524967283628,0.05068524967283628,0.05068524967283628,0.05068524967283628,0.05068524967283628,0.05068524967283628,1.3685017411665796,0.05068524967283628,0.029527627043016882
North America,2020-06-29,370982987,0.2622485074952323,0.2622485074952323,0.2622485074952323,0.2622485074952323,0.2622485074952323,0.2622485074952323,0.2622485074952323,0.5244970149904646,0.2622485074952323,0.15295256652834055
Latin America and Caribbean,2020-07-06,655805524,0.7073075539424089,0.7081960372470129,0.7073075539424089,0.7073075539424089,0.6964117521728365,0.6964117521728365,0.6964117521728365,31.539559760184385,0.6856426034822691,0.4027982234562575
Asia,2020-07-06,4678110154,0.2469809106109649,0.2469809106109649,0.2469809106109649,0.2469809106109649,0.17845230631149778,0.168461071549211,0.1440712315761366,1.0330638195516408,0.020661276391032816,0.022890803438742627
Oceania,2020-07-06,43202462,-0.19142152305118634,-0.17740094088547673,-0.17892398711753402,-0.17892398711753402,-0.19142152305118634,-0.19142152305118634,-0.1986750609517135,-3.548177947757335,-0.1689608546551112,6.619993092060355e-4
European Union,2020-07-06,447045744,0.0072748802612039734,0.0072748802612039734,0.0072748802612039734,0.0072748802612039734,0.0072748802612039734,0.0072748802612039734,0.0072748802612039734,0.1964217670525073,0.0072748802612039734,0.0268748783793365
North America,2020-07-06,370982987,0.3668817230802447,0.3668817230802447,0.3668817230802447,0.3668817230802447,0.3668817230802447,0.3668817230802447,0.3668817230802447,0.7337634461604894,0.3668817230802447,0.14413437239374
Latin America and Caribbean,2020-07-13,655805524,0.7248572462188201,0.7248572462188201,0.7248572462188201,0.7248572462188201,0.7090908609943654,0.7090908609943654,0.7090908609943654,32.01893532405527,0.6960638113925058,0.42011555242709425
Asia,2020-07-13,4678110154,0.2607995713323951,0.2607995713323951,0.2607995713323951,0.2607995713323951,0.19830437005243975,0.1703377132881325,0.1495967488900688,1.1335409014649351,0.022670818029298705,0.02492153800617838
Oceania,2020-07-13,43202462,-0.2068452738365564,-0.18347534484630515,-0.18347534484630515,-0.18347534484630515,-0.2068452738365564,-0.2068452738365564,-0.21103308040921837,-3.7863588180975825,-0.1803028008617896,6.619993092060355e-4
European Union,2020-07-13,447045744,-0.00880528944189779,-0.00880528944189779,-0.00880528944189779,-0.00880528944189779,-0.00880528944189779,-0.00880528944189779,-0.00880528944189779,-0.23774281493124036,-0.00880528944189779,0.021889929903907104
North America,2020-07-13,370982987,0.4256753317786108,0.4256753317786108,0.4256753317786108,0.4256753317786108,0.4256753317786108,0.4256753317786108,0.4256753317786108,0.8513506635572216,0.4256753317786108,0.21410281005689358
Latin America and Caribbean,2020-07-20,655805524,0.720523756348596,0.7231729198056344,0.720523756348596,0.720523756348596,0.7035523640987528,0.7035523640987528,0.7035523640987528,31.76475137470622,0.6905380733631787,0.449850282139435
Asia,2020-07-20,4678110154,0.26108524091620633,0.26108524091620633,0.26108524091620633,0.26108524091620633,0.2050222171252033,0.18681721085856037,0.15077402631552375,1.1449282837235308,0.02289856567447062,0.030106815650668837
Oceania,2020-07-20,43202462,-0.17737717185313231,-0.16586695564559784,-0.17051911751923457,-0.17051911751923457,-0.17737717185313231,-0.17737717185313231,-0.18765715452957554,-3.1440343135357565,-0.14971591969217887,0.005951049734156355
European Union,2020-07-20,447045744,-0.009457188213648214,-0.009457188213648214,-0.009457188213648214,-0.009457188213648214,-0.009457188213648214,-0.009457188213648214,-0.009457188213648214,-0.2553440817685017,-0.009457188213648214,0.021219081329627867
North America,2020-07-20,370982987,0.4697743890758087,0.4697743890758087,0.4697743890758087,0.4697743890758087,0.4697743890758087,0.4697743890758087,0.4697743890758087,0.9395487781516174,0.4697743890758087,0.218646953748313
Latin America and Caribbean,2020-07-27,655805524,0.7049489164077687,0.7105700445158493,0.7049489164077687,0.7049489164077687,0.6898628398705897,0.6898628398705897,0.6883790094808006,30.97556198400393,0.673381782260955,0.45235559802939385
Asia,2020-07-27,4678110154,0.2598433723161651,0.2598433723161651,0.2598433723161651,0.2598433723161651,0.22162695876828667,0.21477337967204596,0.1548629919585307,1.2856658235873075,0.02571331647174615,0.02988080558138991
Oceania,2020-07-27,43202462,-0.15089344150083528,-0.13623083832655694,-0.14823598091846873,-0.14823598091846873,-0.15089344150083528,-0.15089344150083528,-0.1601118104874521,-2.5779554636776143,-0.12275978398464829,0.013557097741327797
European Union,2020-07-27,447045744,0.1816418237926028,0.1816418237926028,0.1816418237926028,0.1816418237926028,0.1816418237926028,0.1816418237926028,0.1816418237926028,4.904329242400275,0.1816418237926028,0.01824690226779119
North America,2020-07-27,370982987,0.46516116250909517,0.46516116250909517,0.46516116250909517,0.46516116250909517,0.46516116250909517,0.46516116250909517,0.46516116250909517,0.9303223250181903,0.46516116250909517,0.2752533231395864
Latin America and Caribbean,2020-08-03,655805524,0.6708245921574257,0.6713451903484716,0.6708245921574257,0.6708245921574257,0.6593714850366652,0.6593714850366652,0.6572802097561443,29.504428874637114,0.6414006277095025,0.44836920281873077
Asia,2020-08-03,4678110154,0.24386472556772462,0.25055335480606883,0.24386472556772462,0.24386472556772462,0.21101379771242912,0.21101379771242912,0.17462533466613797,1.237896573118267,0.024757931462365337,0.0301221209764613
Oceania,2020-08-03,43202462,-0.17141463638403157,-0.16586596505247236,-0.17141463638403157,-0.17141463638403157,-0.1754550191525015,-0.1754550191525015,-0.1829880475662672,-2.9655588219037967,-0.14121708675732367,0.02248714436691131
European Union,2020-08-03,447045744,0.13946770487589857,0.13946770487589857,0.13946770487589857,0.13946770487589857,0.13946770487589857,0.13946770487589857,0.13946770487589857,3.765628031649262,0.13946770487589857,0.022305323635963305
North America,2020-08-03,370982987,0.43899900783941415,0.43899900783941415,0.43899900783941415,0.43899900783941415,0.43899900783941415,0.43899900783941415,0.43899900783941415,0.8779980156788283,0.43899900783941415,0.2814530683586307
Latin America and Caribbean,2020-08-10,655805524,0.6293984248285569,0.6293984248285569,0.6293984248285569,0.6293984248285569,0.614728867314046,0.614728867314046,0.6132468449064127,27.547930592758693,0.5988680563643195,0.47335496368889995
Asia,2020-08-10,4678110154,0.2574525566124146,0.29331703737216364,0.28725603788127363,0.28725603788127363,0.2574525566124146,0.23740048159327595,0.1977647251982562,1.1851799252421096,0.023703598504842188,0.03147486808836695
Oceania,2020-08-10,43202462,-0.14237604196351508,-0.13747404982197464,-0.14237604196351508,-0.14237604196351508,-0.1456868030660326,-0.1456868030660326,-0.15115574704361318,-2.342677653696286,-0.1115560787474422,0.033067559899711274
European Union,2020-08-10,447045744,0.34940467403632464,0.34940467403632464,0.34940467403632464,0.34940467403632464,0.34940467403632464,0.34940467403632464,0.34940467403632464,9.433926198980764,0.34940467403632464,0.025628473492412894
North America,2020-08-10,370982987,0.4520454282134028,0.4520454282134028,0.4520454282134028,0.4520454282134028,0.4520454282134028,0.4520454282134028,0.4520454282134028,0.9040908564268056,0.4520454282134028,0.28307039319838134
