continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Asia,2020-10-19,4679006159,11123.576586971045,16160.508302979058,15035.695329717793,12177.69150975757,8840.485291333212,6751.215559336862,5493.074669826869,44771.90137992816,877.8804192142777,1550.714
Africa,2020-10-19,1371693397,1640.067413279711,1924.9688561438059,1691.9485931072884,1640.067413279711,-142.09689692089555,-1348.6116388242385,-1601.6818898140373,16403.39983956239,298.2436334465889,232.71699999999998
"Europe, United States, Canada, and Oceania",2020-10-19,1162303742,6947.2390138943865,6965.670710917961,6963.4318169684,6954.893069482823,6944.823474273792,6939.220638262,6938.460143164116,500345.96452178014,6949.249507246946,1994.858
Latin America and Caribbean,2020-10-26,655799753,2487.4418846648828,2538.4221352651107,2534.8628229012966,2487.4418846648828,2420.9988915726713,2362.2005930604532,2344.945566822913,103213.76353305452,2293.6391896234336,1712.859
Asia,2020-10-26,4679006159,11265.711721696096,15351.585127936325,14839.363663398795,12136.186303109416,9058.500374969715,6593.200992317436,5964.3088664220695,55964.9442370711,1097.3518477857078,1475.571
Africa,2020-10-26,1371693397,1337.7443207717606,1951.2984313785014,1831.3084461577541,1337.7443207717606,-95.1659677672453,-1274.5421599870956,-1504.087370641713,12382.114125276674,225.12934773230316,239.57399999999998
"Europe, United States, Canada, and Oceania",2020-10-26,1162303742,8238.310762604324,8257.597836642895,8255.993457334658,8246.459587557298,8235.604008422828,8229.927589902061,8229.462958467371,593293.7816646363,8240.191412008839,2605.0009999999997
Latin America and Caribbean,2020-11-02,655799753,2564.619132167318,2620.829872166372,2610.3434894581246,2572.0455562240063,2507.805862522507,2458.182124783463,2444.746756562087,106843.81883259358,2374.307085168746,1609.144
Asia,2020-11-02,4679006159,12035.861077174277,16323.827711714455,15860.450009786555,12652.33788076436,9155.665773303053,6784.975038459001,5674.7250602432505,65689.22313108016,1288.023982962356,1437.7160000000001
Africa,2020-11-02,1371693397,1873.4286992697287,2683.5419213488794,2323.2948063927233,1873.4286992697287,810.2904052108569,-635.615054636914,-858.9764962313786,21683.20214370981,394.240038976542,254.576
"Europe, United States, Canada, and Oceania",2020-11-02,1162303742,11248.71242506593,11269.488908258729,11266.86730888561,11257.319509224484,11246.995504100149,11239.518616196521,11237.443402070461,809782.5959687852,11246.980499566462,3480.998
