continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2020-07-13,1062311981,3242.423848939581,3242.5478593814264,3242.430316000715,3242.423848939581,3242.38327779257,3242.38327779257,3242.3666971554717,149153.22790530304,3242.46147620224,1547.858
"W. Europe, NA, and Aus/NZ",2020-07-20,1062311981,3330.4927935281744,3330.529396674609,3330.4927935281744,3330.4927935281744,3330.4498297440546,3330.4498297440546,3330.4283287874737,153204.5136195876,3330.5329047736436,1501.573
"W. Europe, NA, and Aus/NZ",2020-07-27,1062311981,4070.8133305990914,4070.86588958712,4070.8133305990914,4070.8133305990914,4070.7299565862954,4070.7299565862954,4070.7299565862954,187259.1021910166,4070.8500476307954,1773.143
"W. Europe, NA, and Aus/NZ",2020-08-03,1062311981,3643.3496080227646,3643.409109916559,3643.3496080227646,3643.3496080227646,3643.244917156638,3643.244917156638,3643.244917156638,167595.43343525674,3643.378987722973,1737.287
"W. Europe, NA, and Aus/NZ",2020-08-10,1062311981,4535.67841349429,4535.810550235564,4535.698395150762,4535.67841349429,4535.624967658556,4535.624967658556,4535.624967658556,208642.5477209707,4535.707559151537,1905.285
"W. Europe, NA, and Aus/NZ",2020-08-17,1062311981,3631.7269681767957,3631.846300711444,3631.76400241752,3631.7269681767957,3631.6632247437806,3631.6632247437806,3631.6632247437806,167060.7820066857,3631.756130580124,1758.5729999999999
"W. Europe, NA, and Aus/NZ",2020-08-24,1062311981,2886.467327369004,2886.5990776917993,2886.528910751722,2886.467327369004,2886.4238013299023,2886.4238013299023,2886.4238013299023,132779.21629239887,2886.504702008671,1660.7150000000001
"W. Europe, NA, and Aus/NZ",2020-08-31,1062311981,2465.968264458082,2466.161996529591,2466.089491748413,2465.968264458082,2465.9468139451733,2465.9468139451733,2465.9468139451733,113436.34772097049,2466.0075591515324,1588.001
"W. Europe, NA, and Aus/NZ",2020-09-07,1062311981,2755.3128426567837,2755.561010509632,2755.4163512692053,2755.3128426567837,2755.3039184644517,2755.3039184644517,2755.3039184644517,126746.19263648475,2755.352013836625,1495.428
"W. Europe, NA, and Aus/NZ",2020-09-14,1062311981,2731.7251335260544,2731.9738247848754,2731.8150052491355,2731.7251335260544,2731.7036149972237,2731.7036149972237,2731.7036149972237,125660.85549362813,2731.7577281223507,1416
"W. Europe, NA, and Aus/NZ",2020-09-21,1062311981,2518.8370190137866,2519.018123752553,2518.9493412793313,2518.8370190137866,2518.796974956729,2518.796974956729,2518.796974956729,115867.84977934274,2518.866299550929,1479.003
"W. Europe, NA, and Aus/NZ",2020-09-28,1062311981,2426.422092492683,2426.6302422740355,2426.5429111172703,2426.430422277237,2426.422092492683,2426.422092492683,2426.422092492683,111617.97549362788,2426.477728122345,1567.5739999999998
"W. Europe, NA, and Aus/NZ",2020-10-05,1062311981,2735.4125806652437,2735.56697811196,2735.4980453210887,2735.4125806652437,2735.295140253045,2735.295140253045,2735.295140253045,125830.68099285997,2735.4495868013037,1960.001
"W. Europe, NA, and Aus/NZ",2020-10-12,1062311981,3109.36889771537,3109.5193272485662,3109.426671743903,3109.36889771537,3109.2449207971695,3109.2449207971695,3109.2449207971695,143032.44670714578,3109.4010153727345,1622.858
"W. Europe, NA, and Aus/NZ",2020-10-19,1062311981,4885.434152036787,4885.582349523241,4885.5353911614075,4885.434152036787,4885.334809773951,4885.334809773951,4885.334809773951,224731.86385000288,4885.475301087019,1957.144
"W. Europe, NA, and Aus/NZ",2020-10-26,1062311981,6244.446808135627,6244.617808213416,6244.529456872399,6244.446808135627,6244.2827151244,6244.2827151244,6244.2827151244,287246.78385000286,6244.495301087019,2566
"W. Europe, NA, and Aus/NZ",2020-11-02,1062311981,8111.372426367179,8111.531831311398,8111.4847142056615,8111.372426367179,8111.0795787691095,8111.0795787691095,8111.0795787691095,373123.1126364855,8111.372013836641,3372.999
"W. Europe, NA, and Aus/NZ",2020-11-09,1062311981,8560.683173138621,8560.74676614852,8560.694898488611,8560.683173138621,8560.351278757867,8560.351278757867,8560.351278757867,393777.9012079141,8560.389156693785,4735.002
"W. Europe, NA, and Aus/NZ",2020-11-16,1062311981,8867.844518017579,8868.010533895005,8867.869425842955,8867.844518017579,8867.554830008234,8867.554830008234,8867.554830008234,407919.74692219985,8867.820585265214,5381.57
"W. Europe, NA, and Aus/NZ",2020-11-23,1062311981,8971.957352153562,8972.118640360974,8971.989370490512,8971.957352153562,8971.768771819849,8971.768771819849,8971.768771819849,412709.26692219987,8971.940585265214,6069.0019999999995
