continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2021-01-18,530152257,3854.9846240158536,3855.0339379560983,3854.9846240158536,3854.9846240158536,3854.8948579822177,3854.8948579822177,3854.7309343373076,158052.5859463307,3854.9411206422124,4519.571
W. Europe,2021-01-25,530152257,3234.571594431092,3234.627683150208,3234.571594431092,3234.571594431092,3234.457710089723,3234.457710089723,3234.457710089723,132615.0145177591,3234.5125492136362,4810.859
W. Europe,2021-02-01,530152257,2130.666308529998,2130.849979147626,2130.666308529998,2130.666308529998,2130.2203518950473,2130.2203518950473,2130.2203518950473,87307.92059964403,2129.4614780400984,4558.57
W. Europe,2021-02-08,530152257,1438.0998249166164,1438.2683387105944,1438.2099251370275,1438.1320788978214,1438.0998249166164,1438.0998249166164,1438.0998249166164,58936.79917107289,1437.482906611534,4066.142
W. Europe,2021-02-15,530152257,1082.1819132190387,1082.2405061471463,1082.1819132190387,1082.1819132190387,1082.1067027654462,1082.1067027654462,1082.1002519112662,44340.79917107271,1081.4829066115294,3447.145
W. Europe,2021-02-22,530152257,441.8220053558898,442.0740909345699,441.93735328522655,441.8220053558898,441.7983071438458,441.7983071438458,441.76963638279506,18093.96583773937,441.31623994486273,2872.574
W. Europe,2021-03-01,530152257,-44.89738081952492,-44.39264846049422,-44.74936439148579,-44.82726238807634,-44.89738081952492,-44.89738081952492,-45.228254575574006,-1845.628149286109,-45.01532071429534,2517.285
W. Europe,2021-03-08,530152257,513.7360456407251,514.3300649857244,514.1972981921261,514.1972981921261,513.7360456407251,513.7360456407251,513.2149030755315,21050.42490269143,513.4249976266202,2407.857
W. Europe,2021-03-15,530152257,1111.1122554888789,1111.7016957975468,1111.5008777557423,1111.5008777557423,1111.1122554888789,1111.1122554888789,1110.6335436143702,45539.13918840564,1110.7107119123327,2290.287
W. Europe,2021-03-22,530152257,1857.937001452113,1858.300811395533,1858.1748328401702,1858.1748328401702,1857.937001452113,1857.937001452113,1857.386400525323,76166.1391884061,1857.7107119123439,2329.431
W. Europe,2021-03-29,530152257,2200.223622507481,2200.6915657436216,2200.27180714213,2200.27180714213,2200.223622507481,2200.223622507481,2199.8666621988045,90194.81633126261,2199.8735690551857,2575.141
W. Europe,2021-04-05,530152257,2286.022801572638,2286.255061101256,2286.028322558311,2286.022801572638,2285.911331628201,2285.911331628201,2285.911331628201,93727.25415000325,2286.0305890244695,2405.859
W. Europe,2021-04-12,530152257,2196.102593990723,2196.347469385714,2196.102593990723,2196.102593990723,2196.0273932909267,2196.0273932909267,2196.0024572122384,90039.12843571784,2196.076303310191,2688.713
W. Europe,2021-04-19,530152257,2319.4087560135767,2319.6697748372003,2319.433841148758,2319.4087560135767,2319.2613515876287,2319.2613515876287,2319.1904012712084,95093.84272143192,2319.3620175959004,2502.431
W. Europe,2021-04-26,530152257,1929.5457347981774,1929.8827208242917,1929.5457347981774,1929.5457347981774,1929.4978511018408,1929.4978511018408,1929.388871782842,79110.28557857449,1929.5191604530362,2311.1440000000002
W. Europe,2021-05-03,530152257,1500.4232156996804,1500.6478264825173,1500.553313891727,1500.553313891727,1500.4232156996804,1500.4232156996804,1500.2582195700713,61515.20674600976,1500.3708962441406,1950.286
W. Europe,2021-05-10,530152257,1315.3840708135158,1315.6953013685516,1315.6953013685516,1315.6953013685516,1315.3840708135158,1315.3840708135158,1315.3688189418806,53930.79246029542,1315.385181958425,1654.286
W. Europe,2021-05-17,530152257,807.8295777453654,808.1271609548844,808.1271609548844,808.1271609548844,807.8295777453654,807.8295777453654,807.7831973474326,33121.53531743838,807.8423248155701,1285.996
W. Europe,2021-05-24,530152257,487.0733336291612,487.3439758985644,487.3439758985644,487.3439758985644,487.0733336291612,487.0733336291612,486.96619085019984,19969.906746009423,487.07089624413226,978.001
W. Europe,2021-05-31,530152257,666.740110636391,666.8680634169693,666.740110636391,666.740110636391,666.7088555039668,666.7088555039668,666.6283410145253,27335.381031723577,666.7166105298434,802
W. Europe,2021-06-07,530152257,630.6809145026893,630.8731353830925,630.8731353830925,630.8731353830925,630.6809145026893,630.6809145026893,630.6397404767783,25860.735102384082,630.7496366435142,600.861
W. Europe,2021-06-14,530152257,960.5318977019638,960.7262693687337,960.6890557197713,960.6890557197713,960.5318977019638,960.5318977019638,960.4996002275391,39384.87795952696,960.6067795006576,552.004
W. Europe,2021-06-21,530152257,695.4227886181388,695.5647134915022,695.488977318289,695.488977318289,695.4227886181388,695.4227886181388,695.4177360690315,28512.849388098017,695.4353509292199,394.00100000000003
W. Europe,2021-06-28,530152257,461.7821136214503,461.92700863011686,461.7821136214503,461.7821136214503,461.767499901374,461.767499901374,461.5805520279039,18930.32938809838,461.7153509292288,357.144
W. Europe,2021-07-05,530152257,336.29678623451656,336.5175529056783,336.3893389226542,336.29678623451656,336.2534275853474,336.2534275853474,336.1921345838354,13784.658082415108,336.2111727418319,284.284
W. Europe,2021-07-12,530152257,683.4016432260833,683.7826220020722,683.6033983059551,683.5106065440366,683.4016432260833,683.4016432260833,683.2893847179234,28014.938082414606,683.2911727418197,190.43
