custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Oceania,2020-11-09,43202462,-14019.43093685267,-9963.158647986345,-9963.158647986345,-10731.02147828402,-14142.438739614814,-18463.664509135066,-18463.664509135066,-224080.0554038671,-10670.478828755575,990.0310000000001
European Union,2020-11-09,447045744,336003.738940356,336003.738940356,336003.738940356,336003.738940356,336003.738940356,336003.738940356,336003.738940356,9072100.95138961,336003.738940356,196913.178
North America,2020-11-09,370982987,384630.189955224,384630.189955224,384630.189955224,384630.189955224,384630.189955224,384630.189955224,384630.189955224,769260.379910448,384630.189955224,250812.016
Latin America and Caribbean,2020-11-16,655805524,705390.0172431193,714647.0908841386,714647.0908841386,705390.0172431193,696619.5727116447,686250.356829201,686250.356829201,31199431.10532294,678248.5022896291,474322.282
Asia,2020-11-16,4678110154,1985823.7991176902,2655847.997105752,2655847.997105752,1985823.7991176902,1336338.1882082007,894770.8024220313,894770.8024220313,2481355.959330582,49627.11918661164,268083.24199999997
Oceania,2020-11-16,43202462,-14247.665085225277,-10102.256603398271,-10102.256603398271,-10822.933921740456,-14387.988829464257,-18805.603350718786,-18805.603350718786,-228019.52152700184,-10858.072453666755,997.0310000000001
European Union,2020-11-16,447045744,371588.08936751,371588.08936751,371588.08936751,371588.08936751,371588.08936751,371588.08936751,371588.08936751,10032878.41292277,371588.08936751,218647.17
North America,2020-11-16,370982987,401119.50114401046,401119.50114401046,401119.50114401046,401119.50114401046,401119.50114401046,401119.50114401046,401119.50114401046,802239.0022880209,401119.50114401046,259500.017
Latin America and Caribbean,2020-11-23,655805524,723859.3721569191,733366.7853229934,733366.7853229934,723859.3721569191,714617.2451997579,704406.4004005496,704406.4004005496,31995522.07386034,695554.8276926161,485240.28
Asia,2020-11-23,4678110154,2068755.467799716,2761283.9878970156,2761283.9878970156,2068755.467799716,1396539.1124931287,947756.5656266165,947756.5656266165,2896387.6389861736,57927.75277972347,280204.246
Oceania,2020-11-23,43202462,-14456.873518318836,-10210.324327932427,-10210.324327932427,-10888.174735777013,-14606.826798237013,-19120.96405053451,-19120.96405053451,-231431.0476501366,-11020.526078577934,1009.029
European Union,2020-11-23,447045744,406414.53979466396,406414.53979466396,406414.53979466396,406414.53979466396,406414.53979466396,406414.53979466396,406414.53979466396,10973192.574455926,406414.53979466396,242360.181
North America,2020-11-23,370982987,419321.4789994637,419321.4789994637,419321.4789994637,419321.4789994637,419321.4789994637,419321.4789994637,419321.4789994637,838642.9579989274,419321.4789994637,271424.013
Latin America and Caribbean,2020-11-30,655805524,743179.6928830623,752821.9539654349,752821.9539654349,743179.6928830623,733328.3267240988,723198.6863625164,723198.6863625164,32822554.175731078,713533.7864289365,497592.284
Asia,2020-11-30,4678110154,2143326.4501946117,2851335.28000596,2851335.28000596,2143326.4501946117,1460324.1977907638,1004631.9090051223,1004631.9090051223,3241034.318641765,64820.686372835306,292162.276
Oceania,2020-11-30,43202462,-14439.132705773865,-10072.368805018032,-10072.368805018032,-10728.806721172656,-14612.615311137972,-19210.35178027479,-19210.35178027479,-230373.35377327134,-10970.159703489113,1017.03
European Union,2020-11-30,447045744,439973.7902218179,439973.7902218179,439973.7902218179,439973.7902218179,439973.7902218179,439973.7902218179,439973.7902218179,11879292.335989084,439973.7902218179,267337.18200000003
North America,2020-11-30,370982987,440618.79018825025,440618.79018825025,440618.79018825025,440618.79018825025,440618.79018825025,440618.79018825025,440618.79018825025,881237.5803765005,440618.79018825025,283066.014
Latin America and Caribbean,2020-12-07,655805524,765983.3555154458,775931.0420077732,775931.0420077732,765983.3555154458,755561.2216183649,745693.4046260045,745693.4046260045,33808523.62060268,734967.9047957105,510270.278
Asia,2020-12-07,4678110154,2218389.5426949416,2941888.7847244795,2941888.7847244795,2218389.5426949416,1510455.2129898868,1048458.3002434949,1048458.3002434949,3594376.560125314,71887.53120250627,303509.29
Oceania,2020-12-07,43202462,-14602.430596586608,-10154.465569289603,-10154.465569289603,-10742.135643351952,-14798.514883308626,-19479.34858040425,-19479.34858040425,-233027.73279963192,-11096.558704744377,1021.027
European Union,2020-12-07,447045744,471258.8490360687,471258.8490360687,471258.8490360687,471258.8490360687,471258.8490360687,471258.8490360687,471258.8490360687,12723988.923973855,471258.8490360687,291236.162
North America,2020-12-07,370982987,465587.4347103701,465587.4347103701,465587.4347103701,465587.4347103701,465587.4347103701,465587.4347103701,465587.4347103701,931174.8694207402,465587.4347103701,300038.011
Latin America and Caribbean,2020-12-14,655805524,790369.1792529183,800556.2764448444,800556.2764448444,790369.1792529183,779270.7731521593,769482.5484981709,769482.5484981709,34862768.56547429,757886.2731624845,523294.296
Asia,2020-12-14,4678110154,2283493.8831484164,3026043.1511362526,3026043.1511362526,2283493.8831484164,1554180.9424953803,1100215.4438574724,1100215.4438574724,3909037.801608863,78180.75603217726,314097.273
Oceania,2020-12-14,43202462,-14646.537006329338,-10139.304111982485,-10139.304111982485,-10638.20718069092,-14862.1776935151,-19630.134958971263,-19630.134958971263,-233185.21182599248,-11104.057705999641,1039.031
European Union,2020-12-14,447045744,498436.50785031944,498436.50785031944,498436.50785031944,498436.50785031944,498436.50785031944,498436.50785031944,498436.50785031944,13457785.711958624,498436.50785031944,314315.176
North America,2020-12-14,370982987,490609.74589915655,490609.74589915655,490609.74589915655,490609.74589915655,490609.74589915655,490609.74589915655,490609.74589915655,981219.4917983131,490609.74589915655,318791.011
Latin America and Caribbean,2020-12-21,655805524,817554.601145487,827891.0982746959,827891.0982746959,817554.601145487,805698.6659327808,796192.1441663622,796192.1441663622,36044291.677012555,783571.5581959251,537536.307
Asia,2020-12-21,4678110154,2344541.9002578007,3106307.600847538,3106307.600847538,2344541.9002578007,1599989.939378365,1141391.8944983622,1141391.8944983622,4168839.608240126,83376.79216480252,324245.278
Oceania,2020-12-21,43202462,-14657.318053474506,-10068.11700515226,-10068.11700515226,-10563.53169193534,-14894.472067633427,-19745.892116692987,-19745.892116692987,-232642.97085235306,-11078.236707254908,1050.035
European Union,2020-12-21,447045744,521817.36666457023,521817.36666457023,521817.36666457023,521817.36666457023,521817.36666457023,521817.36666457023,521817.36666457023,14089068.899943395,521817.36666457023,338697.184
North America,2020-12-21,370982987,516474.3904212766,516474.3904212766,516474.3904212766,516474.3904212766,516474.3904212766,516474.3904212766,516474.3904212766,1032948.7808425532,516474.3904212766,339027.01
Latin America and Caribbean,2020-12-28,655805524,849103.2139384183,859637.559273524,859637.559273524,849103.2139384183,836394.7690619075,827043.608262173,827043.608262173,37417525.12506767,813424.4592406016,550763.311
