custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2021-04-05,655799753,209.7782723317963,213.6569971793012,213.45848380670657,211.601026816001,208.42165352375883,205.0734501742542,204.85022435701276,8824.286143485291,196.0952476330065,135.71937286167292
Asia,2021-04-05,4678110154,68.8866554557424,91.23809684499142,82.31308891832617,69.46005943590043,54.166406623568335,23.214685822682988,18.40465611340587,131.19971955188967,2.623994391037794,9.373727970579122
Oceania,2021-04-05,43198762,-14.034131267763684,-0.3771781020655124,-1.811041319762851,-8.023361812960182,-16.173734024078627,-20.95350860359353,-21.779481258531494,-238.86372243167128,-11.374462972936728,2.324228643404179
European Union,2021-04-05,447199451,157.99341693501955,157.9934667861322,157.9934302798423,157.99341693501955,157.9931352696856,157.99297516819408,157.99293279887664,4265.82270842729,157.9934336454552,140.36290912172876
North America,2021-04-05,370982987,189.11425463134808,189.11425463134808,189.11425463134808,189.11425463134808,189.11425463134808,189.11425463134808,189.11425463134808,378.22850926269615,189.11425463134808,155.83114031048544
Latin America and Caribbean,2021-04-12,655799753,216.4245720093374,220.32034214264138,220.26217952526022,218.27814999235528,215.13467015325526,211.64381887762886,211.42468395742864,9084.131700110791,201.86959333579537,141.68354268959294
Asia,2021-04-12,4678110154,71.9508716860743,93.75679086955795,86.09884117494566,72.5493296509328,57.518967047183615,25.268552952565408,20.32799518109295,139.80669996050983,2.796133999210197,9.696187543000724
Oceania,2021-04-12,43198762,-13.492929551266869,-0.06423125553811831,-0.8457767677335478,-7.573940170515183,-15.539129954255701,-20.537261188329992,-21.44741263933492,-231.3043585519857,-11.014493264380272,2.3311802315075605
European Union,2021-04-12,447199451,161.7514751300172,161.75152498112982,161.75148847483996,161.7514751300172,161.75119346468327,161.7510333631917,161.7509909938743,4367.290279692226,161.75149184045284,144.51161479623553
North America,2021-04-12,370982987,189.89067811875884,189.89067811875884,189.89067811875884,189.89067811875884,189.89067811875884,189.89067811875884,189.89067811875884,379.7813562375177,189.89067811875884,157.75386999080905
Latin America and Caribbean,2021-04-19,655799753,222.98663285813842,227.04638522064832,226.86277915821873,224.90261339425152,221.81119893660656,218.15943609700466,217.90891151802114,9339.316916463182,207.54037592140406,147.112943484137
Asia,2021-04-19,4678110154,75.5116954450119,97.3045504091073,90.71775273914501,76.7640042343201,61.84354496773625,27.908800078406617,22.519731771615383,149.96646552400472,2.9993293104800944,10.123604541356425
Oceania,2021-04-19,43198762,-13.083548698053319,0.7868224113995738,0.13751781997693896,-7.145241502616182,-14.988610989820648,-20.2835073026806,-21.252166354992447,-226.61313242124766,-10.791101543868935,2.38210993176147
European Union,2021-04-19,447199451,165.48153686846285,165.48158671957546,165.4815502132856,165.48153686846285,165.48125520312888,165.48109510163735,165.4810527323199,4468.001946630259,165.48155357889848,148.37790174299656
North America,2021-04-19,370982987,191.33047434460738,191.33047434460738,191.33047434460738,191.33047434460738,191.33047434460738,191.33047434460738,191.33047434460738,382.66094868921476,191.33047434460738,159.2178201422482
Latin America and Caribbean,2021-04-26,655799753,229.4320603804188,233.7255857102185,233.3412107789211,231.4023280636622,228.2219981232944,224.54081363673325,224.25446013336213,9583.889823237592,212.9753294052798,152.37506791192706
Asia,2021-04-26,4678110154,80.37962213907218,102.4983914417248,96.84537744891625,82.91841455043998,66.80154639359387,30.82412820063131,25.531783900806662,160.31788967835885,3.206357793567177,10.746847839188355
Oceania,2021-04-26,43198762,-12.427875280822262,1.8071245085182368,0.5780819286877045,-6.558319750574419,-14.232158387377645,-19.9519397697082,-20.88041696484493,-217.731508426793,-10.368167067942522,2.4168354639422307
European Union,2021-04-26,447199451,168.66260419412242,168.662654045235,168.66261753894514,168.66260419412242,168.66232252878845,168.66216242729692,168.66212005797948,4553.890764423067,168.66262090455803,151.94700451454716
North America,2021-04-26,370982987,192.7938116320123,192.7938116320123,192.7938116320123,192.7938116320123,192.7938116320123,192.7938116320123,192.7938116320123,385.5876232640246,192.7938116320123,160.65481245370424
Latin America and Caribbean,2021-05-03,655799753,234.66103283224405,239.117182296609,238.55932053894588,236.65299044062152,233.43700834458312,229.7885335392593,229.43968934997474,9772.332302029892,217.16294004510874,157.46183469514054
Asia,2021-05-03,4678110154,86.87214864347105,109.65414637114894,104.90037572150507,90.87229711594324,73.14705063689792,34.139512034471615,29.61959056430433,171.49437359040323,3.4298874718080645,11.51741537208788
Oceania,2021-05-03,43198762,-11.621345273608737,2.8441850556924884,1.2388880651373881,-5.73078076411785,-13.587917817531256,-19.401275199668387,-20.350648540020895,-205.92982016544292,-9.80618191264014,2.439991220118762
European Union,2021-05-03,447199451,171.48536640759085,171.48541625870348,171.48537975241356,171.48536640759085,171.4850847422569,171.48492464076537,171.48488227144796,4630.105344186714,171.48538311802648,154.96132060323123
North America,2021-05-03,370982987,194.02506280491303,194.02506280491303,194.02506280491303,194.02506280491303,194.02506280491303,194.02506280491303,194.02506280491303,388.05012560982607,194.02506280491303,162.06404311473185
Latin America and Caribbean,2021-05-10,655799753,239.77090350038634,244.41015317228013,243.819192974368,241.92212628251875,238.5561835310783,234.94524844108676,234.47385201367445,9952.79730755224,221.17327350116088,162.0627812282814
Asia,2021-05-10,4678110154,94.26195208155235,118.76855492889683,113.74092543271661,98.82808280461336,79.55609342746948,37.46844583394695,33.509223809438176,182.72895788722957,3.6545791577445916,12.348947459179474
Oceania,2021-05-10,43198762,-11.261447572452079,3.6149391357675906,1.3924423195082194,-4.90626581034325,-13.612251773455991,-19.274465018981537,-19.895826676913536,-203.59784772604166,-9.695135606001983,2.4561953881919116
European Union,2021-05-10,447199451,173.37908007444113,173.37912992555374,173.37909341926385,173.37908007444113,173.37879840910716,173.37863830761563,173.3785959382982,4681.235613191671,173.37909678487674,157.52572491418377
North America,2021-05-10,370982987,195.36144009239754,195.36144009239754,195.36144009239754,195.36144009239754,195.36144009239754,195.36144009239754,195.36144009239754,390.7228801847951,195.36144009239754,163.40884817987623
Latin America and Caribbean,2021-05-17,655799753,244.7146832256994,249.53377014011994,248.9259865623403,246.9869407677248,243.67043161315289,240.03371899769223,239.3389943250078,10124.371070018567,224.9860237781904,166.50773700428644
Asia,2021-05-17,4678110154,101.77459236086766,127.08855643123965,124.05079454271339,107.23858402747997,86.35972071887898,39.87380254273398,36.6082659055539,193.94426089374198,3.8788852178748394,13.188110833013956
Oceania,2021-05-17,43198762,-10.730135036334259,4.554614783249552,2.021769543547074,-4.248649197175682,-13.209336504351947,-19.071896341292117,-19.200693274294693,-198.03800500646898,-9.430381190784237,2.4932381164071322
European Union,2021-05-17,447199451,174.70253364944702,174.70258350055965,174.70254699426974,174.70253364944702,174.70225198411308,174.70209188262152,174.70204951330413,4716.9688597168315,174.70255035988265,159.51364595928362
North America,2021-05-17,370982987,196.87284786809508,196.87284786809508,196.87284786809508,196.87284786809508,196.87284786809508,196.87284786809508,196.87284786809508,393.74569573619016,196.87284786809508,164.59677246601072
