world,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
World,2020-09-07,7868803051,33.36836556788452,34.932554512993676,34.55031132684564,33.36836556788452,24.73350626031994,17.34608134870255,13.601861587886876,3581.2061776599257,16.059220527622983,11.878921736149067
World,2020-09-14,7868803051,35.195831196280466,36.79426350492019,36.51434652170864,35.195831196280466,26.06545363297364,19.286737562800806,14.53204743963063,3711.778363634253,16.644746025265707,12.347709743180355
World,2020-09-21,7868803051,36.98115176941128,38.62333208747276,38.43167419107353,36.98115176941128,27.486979900988985,20.743966422057934,15.540666034384627,3838.309584690997,17.2121506039955,12.826385353128595
World,2020-09-28,7868803051,38.79486735549747,40.50355378970036,40.25044335156053,38.79486735549747,29.163280400587105,21.993622142759936,16.477581307060863,3962.591450555435,17.769468388140965,13.30612793602629
World,2020-10-05,7868803051,40.74763637594654,42.58418882348884,42.163701777662055,40.74763637594654,30.71337203460778,23.31510955538621,17.538319128967142,4124.924066573762,18.497417338895794,13.852132439144969
World,2020-10-12,7868803051,42.57037332203995,44.92331768125945,43.943414178426416,42.57037332203995,32.13086681675436,24.636052531666554,18.671748163650555,4297.027070350139,19.26917968766879,14.327961364552394
World,2020-10-19,7868803051,44.54653968492141,47.386085397712336,45.93999627275729,44.54653968492141,33.80471192311971,25.999839283495575,19.992649138017732,4504.2230966032,20.198309850238566,14.813893173395172
World,2020-10-26,7868803051,46.62188023887524,49.637435740669716,48.13754829552292,46.62188023887524,35.698503481690004,27.561837864461662,21.546756433395377,4739.426628771915,21.25303420973953,15.350582613025166
World,2020-11-02,7868803051,49.08805391329551,52.37305121300232,50.83495765527332,49.08805391329551,37.88315402571196,29.372398210490523,23.39608159839554,5043.015928226836,22.61442120281092,15.953940426053244
World,2020-11-09,7868803051,51.6098813746004,55.090913593040824,53.645649303078784,51.6098813746004,40.3192249139766,31.276526708573385,25.326932108818074,5360.193746457353,24.03674325765629,16.69501959174146
World,2020-11-16,7868803051,54.041016099143164,57.74555025378183,56.43144370739707,54.041016099143164,42.19731092606579,33.44162262568322,27.281155446420982,5681.05239900862,25.475571296002776,17.503567316060405
World,2020-11-23,7868803051,56.530625096027336,60.309975322420016,59.296554135447145,56.530625096027336,44.370676568732996,35.67713981335306,29.23310249870011,5998.782889816972,26.90037170321512,18.39710876759114
World,2020-11-30,7868803051,59.035089282945385,62.838042115944994,62.09286813587718,59.035089282945385,46.77752926307649,37.844042265428165,31.20449800194084,6322.538602804527,28.352191043966492,19.320655341688767
World,2020-12-07,7868803051,61.67567902156131,65.52738221157097,64.938244299562,61.67567902156131,48.78790465488362,39.97783300325075,33.293261815474736,6669.99723715302,29.910301511896954,20.299622415851466
World,2020-12-14,7868803051,64.3216551479428,68.37931094913654,67.80519456779017,64.3216551479428,51.20522852891359,42.020894459977455,35.3128316925722,7009.998820670145,31.434972290000648,21.293763653000088
World,2020-12-21,7868803051,66.98810512684582,71.37138388993013,70.50069496536328,66.98810512684582,53.647038233107715,44.21664488192091,37.37677252346103,7360.822668110846,33.00817339960021,22.34161061861351
World,2020-12-28,7868803051,69.62569442894073,74.39796617270414,73.21008750656354,69.62569442894073,56.097203944939935,46.419288885280906,39.45931763760056,7737.614844552311,34.69782441503279,23.27335350917528
World,2021-01-04,7868803051,72.0993830694974,77.06583337068831,75.87939169110157,72.0993830694974,58.53795462827002,48.38567958055462,41.316574208740654,8075.504040739134,36.21302260421137,24.287243175531348
World,2021-01-11,7868803051,74.60682955428545,79.85275977024688,78.81186547168276,74.60682955428545,60.93595437102072,50.412146723425685,43.58252623666703,8433.539590718206,37.81856318707716,25.4651223319835
World,2021-01-18,7868803051,77.15590834118026,82.68250126117185,81.7127087829306,77.15590834118026,63.37792132217143,52.36401520361302,45.30287102065432,8797.273416497217,39.44965657622071,26.69918552266991
World,2021-01-25,7868803051,79.41548527442544,85.12366216433986,84.27100269280228,79.41548527442544,65.57928145716028,54.008084524725895,46.641400392435806,9100.237914306763,40.80824176819176,27.995558812722404
World,2021-02-01,7868803051,81.32423937455678,87.26620700313718,86.45904487677828,81.32423937455678,67.23672821463491,55.23891998238972,47.631642481405365,9338.41747984941,41.87631156883143,29.266577928994348
World,2021-02-08,7868803051,82.96184948546392,89.22556377895208,88.37620588365003,82.96184948546392,68.57872720155345,56.17169109355579,48.38374123226414,9523.050672379228,42.70426310483957,30.399342473008094
World,2021-02-15,7868803051,84.56288885310155,91.04224945895834,90.19500907668817,84.56288885310155,69.98987977905927,57.06795428453745,49.1204455113318,9695.021447822886,43.475432501447926,31.43449393724062
World,2021-02-22,7868803051,86.05217884285386,92.6840400106638,91.94179086791074,86.05217884285386,71.26071762746128,57.856227720986595,49.83918937069295,9839.160121580026,44.121794267175,32.31911441317379
World,2021-03-01,7868803051,87.68273640737186,94.4121435409661,93.78909310449001,87.68273640737186,72.69028709957693,58.8423214213349,50.734325459546014,10011.683553557661,44.895441944204755,33.18498982724126
World,2021-03-08,7868803051,89.39978000383095,96.18739128121115,95.70081656513153,89.39978000383095,74.20374699937834,59.565538016553056,51.73733853058769,10188.044257753209,45.68629711996955,34.00065408499446
World,2021-03-15,7868803051,91.21598319961367,98.05774037187511,97.68775496927634,91.21598319961367,75.73277428788941,60.45994653106446,52.82852943843959,10373.421143639947,46.517583603766575,34.796773006690415
World,2021-03-22,7868803051,93.18923156289645,100.0188870320773,99.72314388316465,93.18923156289645,77.40384770519606,61.49000071809914,54.001070546657814,10571.7591154342,47.40699154903229,35.66039962892953
World,2021-03-29,7868803051,95.44375122656979,102.44852456503207,101.99376045127971,95.44375122656979,79.44877506646468,62.71615148389513,55.61306438805607,10781.545670630037,48.347738433318554,36.579078105585694
World,2021-04-05,7868803051,98.37250078807855,105.56604462638548,104.84650671896797,98.37250078807855,81.84445508080994,64.45875802404493,57.468343444805924,11022.078328751537,49.42636021861675,37.4986719692395
World,2021-04-12,7868803051,101.64999170694401,108.85285388405312,108.17313503434377,101.64999170694401,85.19237963805278,66.62265390661952,59.8818555393655,11262.222883288938,50.503241629098376,38.62789105661656
World,2021-04-19,7868803051,105.25227987167138,112.46227110900546,112.19797521827208,105.25227987167138,88.92366978820603,69.48083171605619,62.67497850738475,11513.384954565725,51.62952894424092,39.73916669070283
World,2021-04-26,7868803051,109.58439849674403,118.17603553486819,116.47617373082687,109.58439849674403,93.16344863156331,72.64593462230506,65.57857493399922,11753.556828632996,52.70653286382508,40.93121637592248
World,2021-05-03,7868803051,114.68326653061793,124.70951130801689,121.26315650748226,114.68326653061793,98.55927358723834,75.68067875911967,68.49788346580742,11945.491531037906,53.567226596582536,42.153092554254094
World,2021-05-10,7868803051,120.27748129035429,131.98374309367648,127.05826957702337,120.27748129035429,103.5474630624617,78.71216605850304,71.39420358145196,12131.936472159767,54.40330256573887,43.33366591970634
World,2021-05-17,7868803051,125.89446109130643,139.81013019756327,134.47369541596245,125.89446109130643,108.47667305844325,81.41223510914777,73.70185219810193,12306.512560666897,55.186154980569036,44.45838564424886
World,2021-05-24,7868803051,131.54293257460165,147.77724337963906,142.7523774716529,131.54293257460165,113.20479705767346,83.78097880943157,76.21092972908617,12469.189139306078,55.91564636460125,45.528282049767625
World,2021-05-31,7868803051,136.5873400520985,154.96253778986048,151.12088071961807,137.36543860082412,118.525235041378,85.93201953329996,78.63330879443562,12635.680570997087,56.66224471299142,46.52811674495677
World,2021-06-07,7868803051,141.11020970948414,162.1563199743197,157.38783130721387,142.27148929275393,122.37131770728158,88.10177073570905,80.94352572922936,12809.186790518464,57.440299509051414,47.397880996983666
