continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Africa,2021-07-05,1371693397,0.36552380093733056,0.41509909136189976,0.41509909136189976,0.41509909136189976,0.36552380093733056,0.3014553643125683,0.17724721711162875,4.154743997322113,0.07554079995131115,0.056291515413630006
Europe,2021-07-05,747993718,0.3935247549159366,0.39404085748906653,0.3935247549159366,0.3935247549159366,0.3928073475395909,0.3928073475395909,0.39132794236536794,18.840697360624738,0.3845040277678518,0.1333663607051844
Oceania,2021-07-05,43202462,-0.027511750536734225,0.015473838714769903,0.009044010499744461,0.009044010499744461,-0.027511750536734225,-0.027511750536734225,-0.027511750536734225,-0.8048493039556439,-0.03832615733122115,0.005622364762452658
Americas,2021-07-12,1026788511,0.3932137551123501,0.39596865281824273,0.3932137551123501,0.3932137551123501,0.38432156163445397,0.38432156163445397,0.38432156163445397,14.62913478812827,0.304773641419339,0.3166737809359848
Asia,2021-07-12,4679006159,0.4275288010157429,0.6117511013560811,0.4846859550989255,0.4846859550989255,0.4275288010157429,0.4275288010157429,0.3447827311550151,2.1477412205567603,0.04211257295209334,0.06642132740137734
Africa,2021-07-12,1371693397,0.4008319686650701,0.4719164607863046,0.4719164607863046,0.4719164607863046,0.4008319686650701,0.3889937318411601,0.21411074488576037,5.89080459391829,0.10710553807124164,0.055812035085563656
Europe,2021-07-12,747993718,0.442595766887626,0.44311691105842016,0.442595766887626,0.442595766887626,0.44076310643924393,0.44076310643924393,0.4386424353478318,21.11923521326475,0.4310048002707092,0.12763703451316954
Oceania,2021-07-12,43202462,0.01670608159903377,0.031282316055963856,0.02194431249429588,0.02194431249429588,0.01670608159903377,0.01670608159903377,0.007091633723634421,-0.4593134407448727,-0.0218720686068987,0.011242414842005995
Americas,2021-07-19,1026788511,0.4211827253471144,0.42497542161925833,0.4211827253471144,0.4211827253471144,0.4108783098241137,0.4108783098241137,0.4108783098241137,16.344908897386066,0.3405189353622098,0.2986706577981958
Asia,2021-07-19,4679006159,0.4395981487008664,0.645998592444411,0.645998592444411,0.645998592444411,0.4395981487008664,0.4395981487008664,0.35893221809780596,2.1472990021054863,0.04210390200206836,0.06433601277078378
Africa,2021-07-19,1371693397,0.3979881580889617,0.46136666876264054,0.46136666876264054,0.46136666876264054,0.3979881580889617,0.3785928833737422,0.22114783142114308,5.453409889034814,0.09915290707336025,0.06476884717408901
Europe,2021-07-19,747993718,0.4390000047163079,0.4395224342142884,0.4395224342142884,0.4395224342142884,0.4390000047163079,0.4374826670757248,0.4346287317845967,21.013298494689387,0.42884282642223237,0.12874466413633703
Oceania,2021-07-19,43202462,0.009802325426948645,0.058224099065146924,0.04535238760962078,0.04535238760962078,0.009802325426948645,0.009802325426948645,0.009802325426948645,-0.6794397844704144,-0.032354275450972116,0.021825145057705275
Americas,2021-07-26,1026788511,0.4661993921246907,0.4685964336563944,0.4661993921246907,0.4661993921246907,0.45928421761859295,0.45928421761859295,0.45928421761859295,18.735408125378616,0.39032100261205444,0.2727505197026888
Asia,2021-07-26,4679006159,0.48610212390736063,0.6433930248901802,0.5641348166003972,0.5641348166003972,0.48610212390736063,0.48610212390736063,0.3976156250749636,2.4894546290295674,0.048812835863324855,0.08587300087800546
Africa,2021-07-26,1371693397,0.3970676895622302,0.4724467700649195,0.4724467700649195,0.4724467700649195,0.3970676895622302,0.3310622097720746,0.19633672553272352,4.867887537893,0.0885070461435091,0.06897634719750714
Europe,2021-07-26,747993718,0.44748898063878206,0.44755851129629654,0.44755851129629654,0.44755851129629654,0.44748898063878206,0.44584649191003617,0.4430002682205635,21.383983426029868,0.43640782502101766,0.13483709498212657
Oceania,2021-07-26,43202462,0.011562560177105616,0.04434868460053842,0.027167917375038885,0.021159233252822138,0.011562560177105616,0.011562560177105616,0.0034871259645274225,-0.694022286736118,-0.03304868032076753,0.0317435612812992
Americas,2021-08-02,1026788511,0.5089551823762754,0.512523127507533,0.5089551823762754,0.5089551823762754,0.5009815286805337,0.5009815286805337,0.49196688185266696,20.623653596563447,0.4296594499284052,0.2835607302583073
