world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2021-03-29,7868684247,7355508.298848808,8439499.785536146,8439499.785536146,7355508.298848808,6176109.456447356,5583041.8453474585,5583041.8453474585,866837366.7402959,3869809.6729477495,2878859.774
World,2021-04-05,7868684247,7571811.806504801,8704403.370123526,8704403.370123526,7571811.806504801,6363418.913845383,5763045.091359509,5763045.091359509,885427413.282521,3952800.952154112,2951433.8140000002
World,2021-04-12,7868684247,7812373.860208218,8996263.976595383,8996263.976595383,7812373.860208218,6556061.743546008,5962735.802775786,5962735.802775786,903992836.251413,4035682.304693808,3040009.847
World,2021-04-19,7868684247,8085003.5162359495,9316274.377117252,9316274.377117252,8085003.5162359495,6824271.262105386,6203737.347654877,6203737.347654877,923429523.6469715,4122453.230566837,3127573.925
World,2021-04-26,7868684247,8420249.756093478,9731366.553895008,9731366.553895008,8420249.756093478,7223009.3916336205,6454498.784926186,6454498.784926186,942006057.0158633,4205384.183106532,3221236.963
World,2021-05-03,7868684247,8809056.38388074,10256292.583873684,10256292.583873684,8809056.38388074,7577802.87456478,6713647.855363789,6713647.855363789,957407564.3821746,4274140.912420422,3317315.988
World,2021-05-10,7868684247,9230286.980901653,10715116.278138096,10715116.278138096,9230286.980901653,7839213.807988085,6965010.821999528,6965010.821999528,972379371.8018192,4340979.338400979,3410192.982
World,2021-05-17,7868684247,9638518.67973375,11206015.989711832,11206015.989711832,9638518.67973375,8118710.667695983,7197911.481756881,7197911.481756881,986432824.7681304,4403717.967714868,3498823.958
World,2021-05-24,7868684247,10064626.08184762,11741978.861219864,11741978.861219864,10133933.136672866,8343992.951601563,7433872.838759762,7433872.838759762,999545187.784479,4462255.302609282,3582756.009
World,2021-05-31,7868684247,10431670.220515953,12225109.808496626,12225109.808496626,10542592.639680635,8560998.00528475,7641560.3174493285,7641560.3174493285,1012959317.6274945,4522139.810837029,3661517.041
World,2021-06-07,7868684247,10734407.23368609,12721750.256441908,12721750.256441908,10913736.958288789,8760189.130031807,7845773.791710135,7845773.791710135,1026351944.9397571,4581928.3256239155,3729956.076
World,2021-06-14,7868684247,10969041.823076334,13166179.619811837,13166179.619811837,11194512.282448774,8947104.08793571,8048023.7683425015,8048023.7683425015,1040172804.9986864,4643628.593744135,3798169.109
World,2021-06-21,7868684247,11173326.39107605,13604526.585503427,13604526.585503427,11472145.160920683,9115455.667712627,8203794.934905522,8203794.934905522,1053767952.897259,4704321.218291335,3859405.186
World,2021-06-28,7868684247,11390625.213336878,14043365.028555198,14043365.028555198,11757751.754082017,9289478.230341991,8362886.18571137,8362886.18571137,1067813063.7824982,4767022.606171867,3915790.235
World,2021-07-05,7868684247,11608765.225237671,14433086.927257756,14433086.927257756,11995863.736653427,9479048.0396324,8523549.49069735,8523549.49069735,1081943709.494949,4830105.845959594,3970944.264
