continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Oceania,2021-04-05,43198762,-6062.570965128816,-162.9362706273978,-782.3474294460129,-3465.992973979554,-6986.852867574748,-9051.656312315892,-9408.466273707625,-103186.17095759828,-4913.6271884570615,1004.038
Americas,2021-04-12,1026782740,2123773.9183880687,2149322.3692997242,2148940.9389986,2135929.6782223624,2115314.7452019397,2092421.7511587846,2090984.6648933745,95331152.99729554,2028322.4041977774,1514400.342
Asia,2021-04-12,4679006159,3366058.6365120956,4386162.621051541,4027915.4632325466,3394054.4701166344,2690917.8429261497,1182207.4500345993,951082.2793538551,6677119.182530716,130923.90553981795,453871.355
Africa,2021-04-12,1371693397,980550.5315711708,1057970.675323673,1026402.6217666699,980550.5315711708,421677.15814740676,-45984.615127503006,-223030.32599107194,15757397.917630775,286498.1439569232,115971.632
Europe,2021-04-12,748121993,1534083.3408296006,1534729.9757328765,1534558.7564127708,1534131.072365516,1533780.2738026595,1533485.6099709342,1533436.8571966428,75117700.17083243,1533014.289200662,954302.3
Oceania,2021-04-12,43198762,-5828.7785236794425,-27.74710720952355,-365.3650929445081,-3271.848388283248,-6712.711765809629,-8871.842582065045,-9265.016741224212,-99920.61934649895,-4758.124730785665,1007.041
Americas,2021-04-19,1026782740,2172149.2962715817,2198773.142237333,2197569.0541334273,2184714.2918949397,2164440.8035174976,2140492.5518352427,2138849.6122650644,97330080.72733843,2070852.7814327325,1555437.345
Asia,2021-04-19,4679006159,3532664.107431771,4552156.933397473,4244019.447208407,3591247.431555415,2893252.2277130582,1305747.332006041,1053640.3444307896,7163246.774893454,140455.81911555794,473885.391
Africa,2021-04-19,1371693397,1019053.956841891,1086815.9881811144,1066065.8002905366,1019053.956841891,448463.9897409462,-20329.27845089966,-214068.5254165038,16155913.183966419,293743.8760721167,118195.651
Europe,2021-04-19,748121993,1563879.1803071187,1564447.3381167431,1564369.3714566666,1563937.8072012474,1563364.7195423814,1563052.6859525635,1562804.651219206,76549519.62726915,1562235.0944340643,978449.332
Oceania,2021-04-19,43198762,-5651.931063226151,339.89754086316276,59.40599575942632,-3086.6558710403883,-6474.894388598466,-8762.224044937613,-9180.672763537263,-97894.0677353996,-4661.622273114267,1029.042
Americas,2021-04-26,1026782740,2219847.12642119,2248004.054929009,2245483.3250789666,2232768.137021339,2211911.5411278224,2187770.34235748,2185892.436789665,99260424.49071465,2111923.9253343544,1595277.341
Asia,2021-04-26,4679006159,3760413.693482653,4795153.151213742,4530698.714919687,3879180.66287206,3125216.4129935945,1442152.206001023,1194569.6841428822,7658336.087256193,150163.4526912979,503048.399
Africa,2021-04-26,1371693397,1057270.282118765,1120071.30542,1112118.6237305098,1057270.282118765,471162.25320591766,3703.703302699992,-202772.5835263917,16556540.45030206,301028.0081873102,120426.684
Europe,2021-04-26,748121993,1590818.0785734025,1591411.0312518151,1591285.932232821,1590859.015054659,1590167.7415861771,1589798.8117311136,1589576.8688997738,77848103.18370587,1588736.7996674667,1001000.336
Oceania,2021-04-26,43198762,-5368.68826421924,780.6554154784629,249.72423653881117,-2833.1129402496367,-6148.116229226307,-8618.990975499593,-9020.081629250984,-94057.31612430025,-4478.919815442869,1044.0430000000001
Americas,2021-05-03,1026782740,2258706.447223398,2287929.864404014,2284271.408375178,2271769.7002990018,2250679.297656658,2226752.608895077,2224464.8895633942,100765837.90344572,2143953.9979456537,1633864.351
Asia,2021-05-03,4679006159,4064176.448222848,5129942.626682134,4907556.222187092,4251307.311941116,3422101.099524446,1597284.7268627519,1385836.995830626,8193437.148006028,160655.63035305936,539112.399
Africa,2021-05-03,1371693397,1098361.4635007037,1145421.608274246,1141588.7269173728,1098361.4635007037,497170.1456782482,33481.268873926805,-180845.66100287478,17012362.262874264,309315.6775068048,122552.689
Europe,2021-05-03,748121993,1607976.2940867203,1608556.5959673184,1608410.6726408193,1607976.2940867203,1607128.9780706086,1606714.0467391722,1606514.1696557503,78665109.80326088,1605410.404148181,1020360.348
Oceania,2021-05-03,43198762,-5020.277285944487,1228.6527330481654,535.1843067051053,-2475.6263430330514,-5869.812278750922,-8381.11069846977,-8791.2282282601,-88959.1329002977,-4236.149185728462,1054.046
Americas,2021-05-10,1026782740,2297174.698822394,2327598.886711727,2323723.371193491,2311282.4125140985,2289208.5682640304,2265528.0648628753,2262436.6482562544,102234939.89951012,2175211.4872236196,1669026.345
Asia,2021-05-10,4679006159,4409882.006307141,5556327.667153815,5321128.901586773,4623489.466735494,3721925.3986987253,1753018.3300427163,1567800.7367113633,8729637.768755862,171169.36801482082,578034.387
Africa,2021-05-10,1371693397,1138383.11279662,1172596.5123618739,1169571.7912282203,1138383.11279662,523606.0917859022,62348.627613926335,-160358.6096332087,17481956.075446468,317853.7468262994,124743.689
Europe,2021-05-10,748121993,1623823.1054497764,1624341.733746426,1624267.3961897418,1623823.1054497764,1622803.0079304385,1622334.808155623,1622126.7203388005,79421273.12281588,1620842.3086288953,1036975.3589999999
Oceania,2021-05-10,43198762,-4864.805934578351,1561.6089537050982,601.5178435916353,-2119.4460904975517,-5880.3242464560335,-8326.33027032309,-8594.750814092387,-87951.74967629515,-4188.178556014054,1061.046
