continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Asia,2021-03-08,4679006159,6113.308426502405,9299.673863184675,9299.673863184675,7338.952493680805,4168.053933088866,-535.780327218078,-535.780327218078,28219.69616548435,553.3273757938108,827.718
Africa,2021-03-08,1371693397,3125.118384447976,3664.2052856551895,3664.2052856551895,3125.118384447976,1699.581250204094,1037.5109806043122,1037.5109806043122,39371.090306534294,715.8380055733508,295.713
Europe,2021-03-08,747993718,2513.9212817785847,2515.631847115595,2515.631847115595,2514.7792329443355,2513.4944593528476,2512.7784142124738,2512.7784142124738,123174.86582331438,2513.772771904375,3113.001
Oceania,2021-03-08,43202462,-16.74365551403434,3.9433864934914005,3.9433864934914005,-0.8349964926977155,-16.74365551403434,-30.46685858419828,-30.46685858419828,-119.99148889224902,-5.71388042344043,0.572
Americas,2021-03-15,1026788511,5508.939084787337,5740.386866047093,5740.386866047093,5592.370890066247,5508.939084787337,5400.735678752308,5400.735678752308,243551.19727521326,5073.983276566943,4795.003
Asia,2021-03-15,4679006159,7168.725420261303,12134.291307263551,12134.291307263551,9127.873478513653,5295.36304416553,372.6780210483998,372.6780210483998,33889.87616548428,664.5073757938094,829.571
Africa,2021-03-15,1371693397,3140.737123390439,3698.5899217926676,3698.5899217926676,3140.737123390439,1807.359998713598,1084.7616477785934,1084.7616477785934,35242.94744939143,640.7808627162078,285.001
Europe,2021-03-15,747993718,3114.7287561361554,3116.232788264413,3116.232788264413,3115.1312230583853,3114.227627827311,3113.370278162162,3113.370278162162,152601.46582331418,3114.315629047228,3055.573
Oceania,2021-03-15,43202462,-6.713758543247155,13.34301951026727,13.34301951026727,10.125033165678094,-6.713758543247155,-25.83458335373579,-25.83458335373579,-37.07148889225036,-1.7653089948690648,1.429
Americas,2021-03-22,1026788511,5742.821208293035,5944.456268863952,5944.456268863952,5838.196699759011,5742.821208293035,5583.091382259894,5583.091382259894,253048.22584664632,5271.838038471798,4991.289
Asia,2021-03-22,4679006159,7383.2595643500235,13065.445694994945,13065.445694994945,8295.15213943363,5148.017530517703,-328.205746222524,-328.205746222524,19028.273317499188,373.103398382337,1267.143
Africa,2021-03-22,1371693397,3196.5567076861444,3755.0314729553156,3755.0314729553156,3196.5567076861444,2144.928255725478,1186.8704512494253,1186.8704512494253,36107.23316367715,656.4951484304936,296.721
