continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Americas,2020-12-07,1026788511,116.47739296826815,116.47739296826815,116.47739296826815,116.47739296826815,114.7394244130354,114.7394244130354,114.7394244130354,5443.862523558658,113.4138025741387,78.91501144776639
Asia,2020-12-07,4679006159,49.61025661272635,49.61025661272635,49.61025661272635,49.61025661272635,47.361037877186824,35.78350137204648,25.880303194721787,78.44068370385145,1.5380526216441461,6.487922684523228
Africa,2020-12-07,1371693397,35.42605432900051,35.42605432900051,35.42605432900051,35.42605432900051,31.381087326280866,13.738550569571128,7.4944975367548565,742.7114441944141,13.503844439898437,3.945232667763582
Europe,2020-12-07,747993718,128.04427975952507,128.05207418938326,128.04427975952507,128.04427975952507,128.0421238749006,128.0421238749006,128.0408689460974,6274.441277623295,128.04982199231213,57.270705848361146
Oceania,2020-12-07,43202462,-33.70931444739845,-29.49085224860914,-29.49085224860914,-29.49085224860914,-33.70931444739845,-33.70931444739845,-33.70931444739845,-539.3853081790384,-25.6850146751923,2.363353736645842
Americas,2020-12-14,1026788511,121.25246407499536,121.25246407499536,121.25246407499536,121.25246407499536,119.42553040757349,119.42553040757349,119.42553040757349,5665.848878645432,118.03851830511314,82.010003226458
Asia,2020-12-14,4679006159,51.08325682999464,51.08325682999464,51.08325682999464,51.08325682999464,49.06030239399575,36.931201400057894,27.142560351585164,85.30118798210015,1.6725723133745127,6.71459432460217
Africa,2020-12-14,1371693397,37.29362661689088,37.29362661689088,37.29362661689088,37.29362661689088,32.698356585328774,14.847078142978928,8.513975613644874,778.8365042015909,14.160663712756199,4.129457510248553
Europe,2020-12-14,747993718,135.78204671140057,135.78999756711633,135.78204671140057,135.78204671140057,135.7801228172221,135.7801228172221,135.77873610287233,6653.600573002389,135.78776679596712,61.72903580454936
Oceania,2020-12-14,43202462,-33.83351681831854,-29.40124740254683,-29.40124740254683,-29.40124740254683,-33.83351681831854,-33.83351681831854,-33.83351681831854,-539.7498221883569,-25.702372485159852,2.4050272875652317
Americas,2020-12-21,1026788511,126.40675305877684,126.40675305877684,126.40675305877684,126.40675305877684,124.50612178785046,124.50612178785046,124.50612178785046,5905.69900977128,123.03539603690164,85.3680474225719
Asia,2020-12-21,4679006159,52.44361307560162,52.44361307560162,52.44361307560162,52.44361307560162,50.84590563499294,38.00714692427303,28.261013251668846,90.96055206861755,1.7835402366395596,6.931755910945788
Africa,2020-12-21,1371693397,39.41435723355331,39.41435723355331,39.41435723355331,39.41435723355331,34.705791064696086,16.162424902569676,10.099637480472396,828.2070169023043,15.058309398223715,4.339635601526483
Europe,2020-12-21,747993718,143.3067281205168,143.31483054535977,143.3067281205168,143.3067281205168,143.3049030462587,143.3049030462587,143.30351679957678,7022.319112246684,143.31263494380988,66.38763107900861
