iso3c,date,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,daily_covid_deaths_per_100k,cumulative_covid_deaths_per_100k
HKG,2021-12-14,0.20826895999999964,0.8443224159999998,-0.06349102700000024,23.463656395976393,69.56213422497636,16.53373622497634,0,2.8201461709564666
HND,2021-12-14,0.6721485470000019,0.8734560939999995,0.0721366350000005,285.7838877390002,441.1801148970005,204.89085339300016,0.013663925467907463,103.57752374690872
HRV,2021-12-14,1.8347975090000033,2.379899875000014,1.2454973360000021,424.62621422670315,449.4145961067024,404.4876576567029,1.3536169256750383,289.71077187524577
HTI,2021-12-14,0.6088717830000006,0.9226416340000004,0.028462146000000257,190.9910178699998,300.9109127869997,15.898134716000087,0.011913340541409776,6.628149464857074
HUN,2021-12-14,2.004276893999999,2.7709707750000074,1.4500543289999974,408.394557001539,442.81164819553857,386.45230573353894,1.723035174206122,387.95278717546995
IDN,2021-12-14,0.5149704840000006,0.886600972,0.010450921000000111,204.13203383999996,323.8100086020001,49.1205811690001,0.0031661395966941707,52.09801291342058
IMN,2021-12-14,0.8165231630000005,2.2680751670000023,-0.18981107500000002,81.05822095800009,648.7658246600007,-129.90196447599973,NA,NA
IND,2021-12-14,0.45919747200000033,0.9151417420000009,0.004377945000000051,341.41403222400015,539.7412486760004,76.95315893099996,0.024741478764333514,34.22318850433346
IRL,2021-12-14,0.5388853429999992,1.1162044420000004,0.19453028199999972,68.12440385814014,95.48140785514005,58.072709158140164,0.11790313439713065,117.10038965229914
IRN,2021-12-14,0.27543155300000005,0.9279042129999999,0.08425167099999961,309.1128907143477,318.46576670134766,305.36873539234773,0.0735045412869716,154.00201061382054
IRQ,2021-12-14,0.18905127499999902,0.6576772880000002,-0.0551967620000001,602.655658003001,960.3634619150009,231.61360588099973,0.03005146924243658,58.35448936531321
ISL,2021-12-14,0.453314384999999,0.9309574550000008,-0.1871091949999999,-7.495209869618328,0.660434079381736,-28.173698660618314,0.0364049394221808,10.484622553588071
ISR,2021-12-14,0.07285558799999992,0.31884866800000056,-0.14225802399999984,83.44803994791643,89.65032687891647,77.53050284291646,0.026907760198041114,88.58034657195135
ITA,2021-12-14,0.35833468899999843,0.8948295340000005,0.19604479600000038,298.6159892410896,313.5097151760897,292.1607449010897,0.1716570170713297,224.12898496277904
JAM,2021-12-14,0.2983478399999992,0.7165703980000009,0.0264092619999996,120.17672487177839,186.76241361277832,81.92283386777875,0.07566937125814958,81.82381345381242
JEY,2021-12-14,1.3239097149999997,2.368000551999998,-0.21225213199999993,156.5754070879998,803.9947415219999,-166.6213441420001,NA,NA
JOR,2021-12-14,0.8627982819999991,1.5559366790000062,0.4219154979999992,301.9958844660003,389.64097668000045,190.6824087810003,0.3262238604611033,118.00539525575074
JPN,2021-12-14,0.1645602579999997,0.6383810860000027,-0.10467306800000002,10.700809234476319,32.90034550647638,6.909518212476311,8.924973389299342e-4,14.57745653585559
KAZ,2021-12-14,0.8637240130000008,1.8981498020000027,-0.09678247999999955,433.61808891346084,480.6865924834608,382.87198435846074,0.07633604664985308,95.2252697794857
KEN,2021-12-14,0.5687019310000021,0.9579379199999976,0.020660901000000134,159.8016554190002,184.8197162700001,0.578939413999885,0.0029553137286489495,9.729802122013465
KGZ,2021-12-14,0.7098165530000013,1.0411910730000018,-0.15257186299999972,207.94977048929556,233.86231125629556,180.9290720912955,0.028287595685621166,41.89581505011732
KHM,2021-12-14,0.6393135170000015,1.2012477950000002,0.06219937199999985,131.59299539700015,234.7882084070004,61.338200745000044,0.01991568025531725,17.69102500901959
KIR,2021-12-14,1.1754955209999962,1.9805778140000074,-0.08223467200000026,110.51905862599999,237.03997984,-79.40701622799999,NA,NA
KNA,2021-12-14,0.3728815999999996,0.9954547289999993,-0.05236103600000019,100.48064468399996,277.7515560999996,3.2841612609999693,0,52.291487692824866
KOR,2021-12-14,0.39607428899999947,0.6092305390000006,-0.044673255000000155,0.5792639168541803,9.931057020854263,-5.416131341145805,0.12523100979425392,8.948413478061008
KWT,2021-12-14,0.20110272999999942,0.9049130720000016,-0.09711541300000011,210.24730605208364,451.85612256408314,146.50975318308375,0,56.970539577544734
LAO,2021-12-14,1.0767132840000042,1.3091030369999976,0.2709280290000006,205.5652114910003,247.257809796,45.644351849000245,0.07283831466097729,3.5504443611490317
LBN,2021-12-14,0.4285223719999987,0.9901285420000014,0.12936819399999971,197.36180795496722,209.03969308896728,189.4306384449673,0.1772748162952784,131.4788220856648
LBR,2021-12-14,0.2665384840000011,0.6517887450000008,-0.02335961400000001,85.88733384899994,129.6481829379998,-73.21990157300029,0,5.540318072170075
LBY,2021-12-14,0.7502914000000005,1.0507572319999994,0.18991190699999994,403.919389585,447.2123813999993,198.7597672430004,0.1167630326945114,80.23237065027165
LCA,2021-12-14,0.5332467519999992,0.9130565119999987,-0.028911515999999703,284.28483979300046,453.36961934600015,100.0883933050001,0.13557410209272183,154.55447638570288
LIE,2021-12-14,1.7596262340000066,2.2146164709999967,1.0660893180000006,123.02604444491736,152.33179705391737,109.46917047091729,1.3070528572175457,177.75918858158624
LKA,2021-12-14,0.31787060699999886,1.043017459999997,0.06246087199999991,130.68421538000027,241.25239167099997,74.50205571700003,0.09594225434573057,68.37135778780839
LSO,2021-12-14,0.2604471879999994,0.6784382600000008,-0.14505806499999976,98.87155800300006,201.45115572700016,0.5319680399998512,0.011579075591447602,30.80034107325062
LTU,2021-12-14,1.2637164630000057,1.9930400779999964,0.7949736109999981,627.1374505329684,634.9841206809683,614.5171972049682,0.7342384107437482,262.4298198197528
LUX,2021-12-14,0.2941938399999994,1.1152450580000002,0.05148278799999932,46.95025197720655,70.80326240120655,41.744569796206534,0.15752645656838066,141.30123154183747
LVA,2021-12-14,1.549050506999996,1.8713120840000017,0.7507208040000022,421.0958714060307,427.67948991303064,404.0021121190308,0.6293741503448971,236.69824428715745
