location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-06-01,3401.438,3428.517,3401.438,3389.662,3362.337,1996.125,FALSE
North America,2020-06-01,820.64,820.64,820.64,820.64,820.64,992.125,FALSE
Africa,2020-06-08,2181.95,2181.95,2181.95,1975.919,575.757,142.625,FALSE
Oceania,2020-06-08,-62.682,-53.535,-59.798,-62.682,-64.712,-0.125,FALSE
Europe,2020-06-08,1320.809,1321.029,1320.809,1320.667,1320.561,590.875,FALSE
Asia,2020-06-08,10824.312,10824.312,10824.312,8103.686,5661.22,614.125,FALSE
Latin America and Caribbean,2020-06-08,3586.433,3636.391,3586.433,3562.779,3548.122,2422,FALSE
North America,2020-06-08,715.583,715.583,715.583,715.583,715.583,832.875,FALSE
Africa,2020-06-15,3247.451,3247.451,3247.451,2585.57,1566.573,196.625,FALSE
Oceania,2020-06-15,-78.449,-68.096,-75.205,-78.449,-80.855,0,FALSE
Europe,2020-06-15,993.124,993.255,993.124,993.01,992.882,481.25,FALSE
Asia,2020-06-15,10184.594,10184.594,10184.594,10124.184,4620.854,770.75,FALSE
Latin America and Caribbean,2020-06-15,3602.862,3631.006,3602.862,3572.57,3569.739,2445.25,FALSE
North America,2020-06-15,749.697,749.697,749.697,749.697,749.697,707.75,FALSE
Africa,2020-06-22,3325.352,3325.352,3325.352,2966.337,1985.042,234.875,FALSE
Oceania,2020-06-22,-87.368,-78.169,-84.734,-87.368,-90.341,0,FALSE
Europe,2020-06-22,1553.971,1554.115,1553.971,1553.805,1553.692,570.375,FALSE
Asia,2020-06-22,12101.024,12101.024,12101.024,9544.372,5954.785,1100.375,FALSE
Latin America and Caribbean,2020-06-22,3588.181,3618.157,3588.181,3570.493,3570.122,2650.875,FALSE
North America,2020-06-22,834.269,834.269,834.269,834.269,834.269,587.375,FALSE
Africa,2020-06-29,3742.565,3742.565,3742.565,3128.197,2206.801,220.375,FALSE
Oceania,2020-06-29,-84.054,-75.243,-75.47,-84.054,-86.981,0.25,FALSE
Europe,2020-06-29,1326.315,1326.49,1326.352,1326.315,1326.193,362.625,FALSE
Asia,2020-06-29,13828.244,13828.244,13828.244,9822.572,6914.359,939.875,FALSE
