location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-07-27,39.751,39.776,39.755,39.749,39.743,26.304,FALSE
Asia,2020-07-27,14.087,16.453,14.087,5.695,-4.244,1.948,FALSE
Latin America and Caribbean,2020-07-27,58.025,59.688,58.435,57.206,56.42,33.683,FALSE
Africa,2020-07-27,12.643,15.492,12.643,-1.455,-18.699,1.323,FALSE
North America,2020-07-27,63.902,63.902,63.902,63.902,63.902,42.505,FALSE
Oceania,2020-08-03,-9.672,-3.3,-6.902,-10.25,-12.675,0.595,FALSE
Europe,2020-08-03,41.1,41.126,41.104,41.098,41.092,26.587,FALSE
Latin America and Caribbean,2020-08-03,62.714,64.499,63.242,61.872,60.974,36.83,FALSE
Asia,2020-08-03,15.844,18.019,15.844,7.292,-3.198,2.159,FALSE
Africa,2020-08-03,14.03,17.151,14.03,-1.018,-19.159,1.502,FALSE
North America,2020-08-03,67.192,67.192,67.192,67.192,67.192,44.476,FALSE
Oceania,2020-08-10,-10.336,-3.602,-7.424,-11.026,-13.537,0.826,FALSE
Europe,2020-08-10,43.383,43.41,43.387,43.38,43.374,26.882,FALSE
Latin America and Caribbean,2020-08-10,67.094,69.035,67.635,66.207,65.204,40.123,FALSE
Asia,2020-08-10,17.654,19.702,17.654,8.886,-1.844,2.38,FALSE
Africa,2020-08-10,15.032,18.1,15.032,-0.68,-19.732,1.718,FALSE
North America,2020-08-10,70.648,70.648,70.648,70.648,70.648,46.457,FALSE
Oceania,2020-08-17,-11.341,-4.206,-8.31,-12.058,-14.85,1.074,FALSE
Europe,2020-08-17,45.075,45.102,45.079,45.072,45.065,27.187,FALSE
Latin America and Caribbean,2020-08-17,71.16,73.269,71.713,70.263,69.15,43.189,FALSE
Asia,2020-08-17,19.567,21.79,19.567,10.631,-0.591,2.604,FALSE
Africa,2020-08-17,15.949,18.904,15.949,-0.135,-20.239,1.885,FALSE
North America,2020-08-17,73.847,73.847,73.847,73.847,73.847,48.375,FALSE
Oceania,2020-08-24,-12.526,-4.991,-9.38,-13.159,-16.355,1.277,FALSE
Europe,2020-08-24,46.47,46.499,46.474,46.467,46.46,27.49,FALSE
Latin America and Caribbean,2020-08-24,74.932,77.127,75.48,74.023,72.792,46.243,FALSE
Asia,2020-08-24,21.444,24.378,21.444,12.211,0.337,2.818,FALSE
Africa,2020-08-24,16.636,20.354,16.636,-0.28,-20.715,2.039,FALSE
North America,2020-08-24,76.451,76.451,76.451,76.451,76.451,50.176,FALSE
Oceania,2020-08-31,-13.382,-5.472,-10.109,-14.011,-17.354,1.587,FALSE
Europe,2020-08-31,47.679,47.709,47.683,47.675,47.669,27.786,FALSE
Latin America and Caribbean,2020-08-31,78.378,80.595,78.991,77.461,76.2,49.026,FALSE
Asia,2020-08-31,23.338,26.584,23.338,13.908,1.067,3.05,FALSE
Africa,2020-08-31,17.127,20.548,17.127,-0.329,-21.482,2.171,FALSE
North America,2020-08-31,78.826,78.826,78.826,78.826,78.826,51.91,FALSE
Oceania,2020-09-07,-14.277,-5.995,-10.74,-14.742,-18.36,1.853,FALSE
Europe,2020-09-07,49.827,49.858,49.831,49.823,49.817,28.13,FALSE
Latin America and Caribbean,2020-09-07,81.251,83.502,81.904,80.323,79.08,52.428,FALSE
Asia,2020-09-07,25.33,28.819,25.33,16.055,1.97,3.294,FALSE
Africa,2020-09-07,17.577,20.847,17.577,-0.483,-22.295,2.295,FALSE
North America,2020-09-07,80.896,80.896,80.896,80.896,80.896,53.452,FALSE
Oceania,2020-09-14,-15.31,-6.67,-11.567,-15.689,-19.492,1.962,FALSE
Europe,2020-09-14,52.065,52.097,52.07,52.062,52.055,28.487,FALSE
Latin America and Caribbean,2020-09-14,83.861,86.163,84.629,82.915,81.64,54.756,FALSE
Asia,2020-09-14,27.376,31.683,27.376,18.005,2.869,3.559,FALSE
Africa,2020-09-14,18.08,21.629,18.08,-0.771,-23.05,2.388,FALSE
North America,2020-09-14,82.999,82.999,82.999,82.999,82.999,54.87,FALSE
Oceania,2020-09-21,-15.789,-6.823,-11.913,-16.19,-19.992,2.055,FALSE
Europe,2020-09-21,53.895,53.928,53.9,53.892,53.885,28.989,FALSE
Latin America and Caribbean,2020-09-21,86.468,88.831,87.301,85.509,84.159,56.956,FALSE
Asia,2020-09-21,29.375,34.866,29.375,19.632,3.799,3.831,FALSE
Africa,2020-09-21,18.641,22.184,18.641,-0.992,-23.63,2.481,FALSE
North America,2020-09-21,85.335,85.335,85.335,85.335,85.335,56.334,FALSE
Oceania,2020-09-28,-16.142,-6.897,-12.131,-16.588,-20.313,2.119,FALSE
Europe,2020-09-28,56.001,56.035,56.006,55.998,55.991,29.551,FALSE
Latin America and Caribbean,2020-09-28,88.865,91.282,89.706,87.885,86.439,59.191,FALSE
Asia,2020-09-28,31.455,38.06,31.455,21.329,4.902,4.09,FALSE
Africa,2020-09-28,19.153,22.866,19.153,-1.269,-24.152,2.582,FALSE
North America,2020-09-28,87.238,87.238,87.238,87.238,87.238,57.794,FALSE
Oceania,2020-10-05,-16.862,-7.266,-12.718,-17.29,-21.197,2.149,FALSE
