location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-07-20,-0.128,-0.077,-0.109,-0.135,-0.156,0.005,FALSE
Africa,2020-07-20,0.309,0.345,0.309,0.134,0.038,0.02,FALSE
North America,2020-07-20,0.512,0.512,0.512,0.512,0.512,0.206,FALSE
Europe,2020-07-20,0.169,0.169,0.169,0.169,0.169,0.041,FALSE
Asia,2020-07-20,0.262,0.33,0.262,0.175,0.117,0.029,FALSE
Latin America and Caribbean,2020-07-27,0.703,0.729,0.713,0.696,0.687,0.427,FALSE
Oceania,2020-07-27,-0.105,-0.061,-0.089,-0.111,-0.136,0.013,FALSE
Africa,2020-07-27,0.281,0.285,0.281,0.117,0.018,0.027,FALSE
North America,2020-07-27,0.499,0.499,0.499,0.499,0.499,0.259,FALSE
Europe,2020-07-27,0.289,0.289,0.289,0.289,0.289,0.038,FALSE
Asia,2020-07-27,0.257,0.333,0.257,0.198,0.134,0.029,FALSE
Latin America and Caribbean,2020-08-03,0.67,0.687,0.675,0.661,0.654,0.436,FALSE
Oceania,2020-08-03,-0.121,-0.073,-0.109,-0.131,-0.159,0.021,FALSE
Africa,2020-08-03,0.198,0.213,0.198,0.059,-0.053,0.026,FALSE
North America,2020-08-03,0.47,0.47,0.47,0.47,0.47,0.284,FALSE
Europe,2020-08-03,0.193,0.193,0.193,0.193,0.193,0.039,FALSE
Asia,2020-08-03,0.251,0.35,0.258,0.197,0.116,0.03,FALSE
Latin America and Caribbean,2020-08-10,0.626,0.64,0.632,0.619,0.61,0.454,FALSE
Oceania,2020-08-10,-0.095,-0.045,-0.078,-0.106,-0.13,0.032,FALSE
Africa,2020-08-10,0.143,0.188,0.143,0.035,-0.086,0.03,FALSE
North America,2020-08-10,0.494,0.494,0.494,0.494,0.494,0.267,FALSE
Europe,2020-08-10,0.326,0.326,0.326,0.326,0.326,0.041,FALSE
Asia,2020-08-10,0.259,0.371,0.271,0.214,0.109,0.031,FALSE
Latin America and Caribbean,2020-08-17,0.581,0.595,0.589,0.576,0.565,0.435,FALSE
Oceania,2020-08-17,-0.144,-0.1,-0.127,-0.154,-0.179,0.036,FALSE
Africa,2020-08-17,0.131,0.178,0.131,0.037,-0.073,0.024,FALSE
North America,2020-08-17,0.457,0.457,0.457,0.457,0.457,0.257,FALSE
Europe,2020-08-17,0.242,0.242,0.242,0.242,0.242,0.044,FALSE
Asia,2020-08-17,0.273,0.379,0.298,0.222,0.136,0.032,FALSE
Latin America and Caribbean,2020-08-24,0.539,0.553,0.546,0.534,0.526,0.422,FALSE
Oceania,2020-08-24,-0.169,-0.117,-0.152,-0.179,-0.204,0.03,FALSE
Africa,2020-08-24,0.098,0.137,0.098,-0,-0.093,0.022,FALSE
North America,2020-08-24,0.372,0.372,0.372,0.372,0.372,0.241,FALSE
Europe,2020-08-24,0.199,0.199,0.199,0.199,0.199,0.042,FALSE
Asia,2020-08-24,0.268,0.422,0.306,0.229,0.132,0.03,FALSE
Latin America and Caribbean,2020-08-31,0.492,0.506,0.499,0.488,0.478,0.393,FALSE
Oceania,2020-08-31,-0.122,-0.071,-0.104,-0.131,-0.146,0.041,FALSE
Africa,2020-08-31,0.07,0.134,0.07,-0.022,-0.141,0.018,FALSE
North America,2020-08-31,0.339,0.339,0.339,0.339,0.339,0.232,FALSE
Europe,2020-08-31,0.173,0.173,0.173,0.173,0.173,0.042,FALSE
Asia,2020-08-31,0.27,0.395,0.296,0.22,0.11,0.033,FALSE
Latin America and Caribbean,2020-09-07,0.41,0.431,0.418,0.406,0.393,0.389,FALSE
Oceania,2020-09-07,-0.128,-0.081,-0.101,-0.129,-0.145,0.035,FALSE
Africa,2020-09-07,0.064,0.125,0.064,-0.03,-0.142,0.018,FALSE
North America,2020-09-07,0.296,0.296,0.296,0.296,0.296,0.21,FALSE
Europe,2020-09-07,0.307,0.307,0.307,0.307,0.307,0.049,FALSE
Asia,2020-09-07,0.285,0.403,0.342,0.239,0.128,0.034,FALSE
Latin America and Caribbean,2020-09-14,0.373,0.391,0.38,0.369,0.354,0.353,FALSE
Oceania,2020-09-14,-0.148,-0.096,-0.124,-0.148,-0.166,0.016,FALSE
Africa,2020-09-14,0.072,0.113,0.072,-0.036,-0.141,0.014,FALSE
North America,2020-09-14,0.3,0.3,0.3,0.3,0.3,0.188,FALSE
Europe,2020-09-14,0.32,0.32,0.32,0.32,0.32,0.05,FALSE
Asia,2020-09-14,0.292,0.416,0.355,0.256,0.126,0.038,FALSE
Latin America and Caribbean,2020-09-21,0.372,0.391,0.38,0.369,0.357,0.306,FALSE
Asia,2020-09-21,0.286,0.455,0.346,0.254,0.133,0.039,FALSE
Oceania,2020-09-21,-0.068,-0.022,-0.044,-0.071,-0.086,0.012,FALSE
Africa,2020-09-21,0.08,0.109,0.08,-0.028,-0.138,0.013,FALSE
Europe,2020-09-21,0.261,0.262,0.261,0.261,0.261,0.069,FALSE
North America,2020-09-21,0.334,0.334,0.334,0.334,0.334,0.198,FALSE
Latin America and Caribbean,2020-09-28,0.342,0.358,0.348,0.337,0.322,0.31,FALSE
Asia,2020-09-28,0.297,0.432,0.333,0.245,0.137,0.037,FALSE
Oceania,2020-09-28,-0.05,-0.011,-0.033,-0.056,-0.068,0.009,FALSE
Africa,2020-09-28,0.073,0.121,0.073,-0.026,-0.131,0.014,FALSE
Europe,2020-09-28,0.301,0.301,0.301,0.301,0.301,0.078,FALSE
North America,2020-09-28,0.272,0.272,0.272,0.272,0.272,0.197,FALSE
Latin America and Caribbean,2020-10-05,0.376,0.387,0.38,0.368,0.356,0.396,FALSE
Asia,2020-10-05,0.285,0.41,0.285,0.212,0.119,0.036,FALSE
Oceania,2020-10-05,-0.103,-0.053,-0.079,-0.103,-0.12,0.006,FALSE
Africa,2020-10-05,0.087,0.12,0.087,-0.03,-0.139,0.013,FALSE
Europe,2020-10-05,0.49,0.49,0.49,0.49,0.49,0.09,FALSE
North America,2020-10-05,0.356,0.356,0.356,0.356,0.356,0.193,FALSE
Latin America and Caribbean,2020-10-12,0.363,0.372,0.365,0.354,0.342,0.323,FALSE
Asia,2020-10-12,0.24,0.377,0.264,0.195,0.112,0.035,FALSE
Oceania,2020-10-12,-0.071,-0.029,-0.052,-0.076,-0.089,0.001,FALSE
Africa,2020-10-12,0.116,0.129,0.116,-0.019,-0.121,0.016,FALSE
Europe,2020-10-12,0.577,0.577,0.577,0.577,0.577,0.114,FALSE
North America,2020-10-12,0.269,0.269,0.269,0.269,0.269,0.193,FALSE
Latin America and Caribbean,2020-10-19,0.382,0.391,0.383,0.373,0.36,0.247,FALSE
Asia,2020-10-19,0.238,0.345,0.26,0.189,0.117,0.033,FALSE
Oceania,2020-10-19,-0.04,0.005,-0.021,-0.043,-0.058,0.002,FALSE
Africa,2020-10-19,0.12,0.14,0.12,-0.01,-0.117,0.017,FALSE
Europe,2020-10-19,0.773,0.773,0.773,0.773,0.773,0.156,FALSE
North America,2020-10-19,0.319,0.319,0.319,0.319,0.319,0.199,FALSE
Latin America and Caribbean,2020-10-26,0.379,0.387,0.379,0.369,0.358,0.258,FALSE
Asia,2020-10-26,0.241,0.328,0.259,0.194,0.128,0.031,FALSE
Oceania,2020-10-26,-0.054,-0.008,-0.035,-0.058,-0.077,0,FALSE
Africa,2020-10-26,0.098,0.142,0.098,-0.007,-0.11,0.017,FALSE
Europe,2020-10-26,0.928,0.928,0.928,0.928,0.928,0.224,FALSE
North America,2020-10-26,0.356,0.356,0.356,0.356,0.356,0.222,FALSE
Latin America and Caribbean,2020-11-02,0.391,0.4,0.392,0.382,0.373,0.241,FALSE
Asia,2020-11-02,0.257,0.349,0.27,0.196,0.121,0.031,FALSE
Oceania,2020-11-02,-0.007,0.043,0.013,-0.011,-0.032,0.001,FALSE
Africa,2020-11-02,0.137,0.196,0.137,0.059,-0.063,0.019,FALSE
Europe,2020-11-02,1.247,1.247,1.247,1.247,1.247,0.333,FALSE
North America,2020-11-02,0.519,0.519,0.519,0.519,0.519,0.233,FALSE
Latin America and Caribbean,2020-11-09,0.393,0.402,0.393,0.384,0.374,0.231,FALSE
