location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Asia,2020-09-28,1477629.872,1477629.872,1477629.872,1336355.717,761694.866,191328,FALSE
Africa,2020-09-28,341282.744,341282.744,341282.744,303700.244,55221.491,35457,FALSE
North America,2020-09-28,294822.852,294822.852,294822.852,294822.852,294822.852,214357,FALSE
Oceania,2020-09-28,-12152.497,-10623.266,-11185.599,-12152.497,-12152.497,922,FALSE
Europe,2020-09-28,419202.73,419237.651,419204.686,419202.73,419166.521,221258,FALSE
Latin America and Caribbean,2020-09-28,582253.23,582253.23,582253.23,571597.576,571286.136,388396,FALSE
Asia,2020-10-05,1564281.166,1564281.166,1564281.166,1438224.692,796098.675,203494,FALSE
Africa,2020-10-05,349867.907,349867.907,349867.907,310757.74,51867.965,36638,FALSE
North America,2020-10-05,302907.933,302907.933,302907.933,302907.933,302907.933,219718,FALSE
Oceania,2020-10-05,-12623.804,-11060.743,-11572.515,-12623.804,-12623.804,938,FALSE
Europe,2020-10-05,444859.943,444897.084,444860.052,444859.943,444823.402,226113,FALSE
Latin America and Caribbean,2020-10-05,599550.515,599550.515,599550.515,588223.278,587913.254,407773,FALSE
Asia,2020-10-12,1643073.477,1643073.477,1643073.477,1525166.755,838322.099,215028,FALSE
Africa,2020-10-12,359969.211,359969.211,359969.211,319271.043,48525.392,38301,FALSE
North America,2020-10-12,309071.815,309071.815,309071.815,309071.815,309071.815,224946,FALSE
Oceania,2020-10-12,-13031.865,-11428.247,-11893.464,-13031.865,-13031.865,944,FALSE
Europe,2020-10-12,475084.632,475123.833,475084.632,475083.555,475048.252,232313,FALSE
Latin America and Caribbean,2020-10-12,616260.087,616260.087,616260.087,604274.818,604028.549,420530,FALSE
Asia,2020-10-19,1721396.583,1721396.583,1721396.583,1606968.28,890408.427,225883,FALSE
Africa,2020-10-19,370235.405,370235.405,370235.405,327708.807,49276.349,39930,FALSE
North America,2020-10-19,316669.696,316669.696,316669.696,316669.696,316669.696,230449,FALSE
Oceania,2020-10-19,-13316.658,-11714.176,-12117.798,-13316.658,-13316.658,955,FALSE
Europe,2020-10-19,515548.924,515590.033,515548.924,515547.143,515513.372,240762,FALSE
Latin America and Caribbean,2020-10-19,633876.387,633876.387,633876.387,621161.074,621002.162,432377,FALSE
Asia,2020-10-26,1804004.573,1804004.573,1804004.573,1691733.453,938380.341,236212,FALSE
Africa,2020-10-26,376791.463,376791.463,376791.463,335560.993,47510.452,41607,FALSE
North America,2020-10-26,325225.778,325225.778,325225.778,325225.778,325225.778,236515,FALSE
Oceania,2020-10-26,-13671.74,-12037.607,-12361.611,-13671.74,-13671.74,965,FALSE
Europe,2020-10-26,564131.677,564174.714,564131.677,564128.144,564096.587,252930,FALSE
Latin America and Caribbean,2020-10-26,651287.946,651287.946,651287.946,637676.18,637676.18,444357,FALSE
Asia,2020-11-02,1896565.1,1896565.1,1896565.1,1780073.184,981175.642,246275,FALSE
Africa,2020-11-02,392626.355,392626.355,392626.355,349735.477,53967.35,43389,FALSE
North America,2020-11-02,338082.859,338082.859,338082.859,338082.859,338082.859,242867,FALSE
Oceania,2020-11-02,-13860.624,-12235.009,-12475.775,-13860.624,-13860.624,979,FALSE
Europe,2020-11-02,629432.219,629477.211,629432.219,629424.693,629401.139,270951,FALSE
Latin America and Caribbean,2020-11-02,669277.678,669277.678,669277.678,654911.902,654911.902,455581,FALSE
Asia,2020-11-09,1989219.69,1989219.69,1989219.69,1868483.59,1016936.186,257288,FALSE
Africa,2020-11-09,411258.286,411258.286,411258.286,365642.505,61706.733,45609,FALSE
North America,2020-11-09,351265.741,351265.741,351265.741,351265.741,351265.741,250757,FALSE
Oceania,2020-11-09,-13939.383,-12318.359,-12469.785,-13939.383,-13939.383,990,FALSE
Europe,2020-11-09,697355.122,697402.571,697355.122,697343.58,697326.933,297355,FALSE
Latin America and Caribbean,2020-11-09,687308.141,687308.141,687308.141,672135.857,672135.857,466451,FALSE
Asia,2020-11-16,2078009.821,2078009.821,2078009.821,1953779.222,1059886.929,268170,FALSE
Africa,2020-11-16,429528.557,429528.557,429528.557,381644.365,69325.497,47641,FALSE
North America,2020-11-16,367243.022,367243.022,367243.022,367243.022,367243.022,259453,FALSE
Oceania,2020-11-16,-14177.476,-12561.337,-12624.417,-14177.476,-14177.476,997,FALSE
Europe,2020-11-16,764731.144,764781.433,764731.144,764716.761,764704.031,327575,FALSE
Latin America and Caribbean,2020-11-16,705592.978,705592.978,705592.978,689857.115,689857.115,478347,FALSE
Asia,2020-11-23,2165967.514,2165967.514,2165967.514,2039742.648,1110181.286,280291,FALSE
Africa,2020-11-23,445519.105,445519.105,445519.105,395802.528,78600.522,49987,FALSE
North America,2020-11-23,384554.303,384554.303,384554.303,384554.303,384554.303,271376,FALSE
Oceania,2020-11-23,-14394.82,-12751.663,-12751.663,-14394.82,-14394.82,1009,FALSE
Europe,2020-11-23,831026.342,831079.27,831026.342,831009.893,830999.353,360687,FALSE
Latin America and Caribbean,2020-11-23,724138.436,724138.436,724138.436,707789.648,707789.648,489265,FALSE
Asia,2020-11-30,2242891.807,2242891.807,2242891.807,2128400.15,1161672.63,292249,FALSE
Africa,2020-11-30,464171.146,464171.146,464171.146,411383.258,89362.381,51992,FALSE
North America,2020-11-30,404987.185,404987.185,404987.185,404987.185,404987.185,283050,FALSE
Oceania,2020-11-30,-14391.104,-12661.977,-12661.977,-14391.104,-14391.104,1017,FALSE
Europe,2020-11-30,895599.043,895653.886,895599.043,895583.031,895572.185,395515,FALSE
Latin America and Caribbean,2020-11-30,743509.477,743509.477,743509.477,726406.598,726406.598,501617,FALSE
Asia,2020-12-07,2321188.917,2321188.917,2321188.917,2215947.834,1210862.935,303596,FALSE
Africa,2020-12-07,485936.848,485936.848,485936.848,430452.303,102801.528,54118,FALSE
North America,2020-12-07,429555.866,429555.866,429555.866,429555.866,429555.866,300020,FALSE
